TradeID,Time,Type,Symbol,Entry,SL,TP,Status,ExitPrice,PnL,Reason
1765916343,2025-12-16 23:19:03,BUY,xauusd,4308.68,4306.17,4311.62,CLOSED,4311.84,3.16,TP HIT
1765917565,2025-12-16 23:39:25,BUY,xauusd,4308.84,4306.52,4311.52,CLOSED,4311.69,2.85,TP HIT
1765918462,2025-12-16 23:54:22,BUY,xauusd,4303.61,4301.07,4306.6,CLOSED,4300.94,-2.67,SL HIT
1765918805,2025-12-17 00:00:05,BUY,xauusd,4304.83,4301.95,4307.93,CLOSED,4301.92,-2.91,SL HIT
1765919164,2025-12-17 00:06:04,BUY,xauusd,4303.37,4301.05,4306.38,CLOSED,4300.94,-2.43,SL HIT
1765921283,2025-12-17 00:41:23,SELL,xauusd,4303.69,4305.79,4300.79,CLOSED,4305.8,-2.11,SL HIT
1765922043,2025-12-17 00:54:03,BUY,xauusd,4302.41,4300.97,4305.35,CLOSED,4305.48,3.07,TP HIT
1765926747,2025-12-17 02:12:27,SELL,xauusd,4304.95,4306.95,4301.93,CLOSED,4307.01,-2.06,SL HIT
1765927205,2025-12-17 02:20:05,SELL,xauusd,4305.99,4308.3,4303.21,CLOSED,4308.35,-2.36,SL HIT
1765928284,2025-12-17 02:38:04,SELL,xauusd,4306.64,4308.65,4303.65,CLOSED,4308.81,-2.17,SL HIT
1765928766,2025-12-17 02:46:06,SELL,xauusd,4308.31,4310.31,4305.31,CLOSED,4310.33,-2.02,SL HIT
1765929845,2025-12-17 03:04:05,SELL,xauusd,4310.28,4312.26,4307.26,CLOSED,4312.26,-1.98,SL HIT
1765930225,2025-12-17 03:10:25,SELL,xauusd,4312.09,4314.25,4309.25,CLOSED,4314.35,-2.26,SL HIT
1765930565,2025-12-17 03:16:05,SELL,xauusd,4312.82,4314.75,4309.75,CLOSED,4314.85,-2.03,SL HIT
1765930923,2025-12-17 03:22:03,SELL,xauusd,4313.42,4316.6,4310.5,CLOSED,4316.97,-3.55,SL HIT
1765933264,2025-12-17 04:01:04,SELL,xauusd,4315.61,4318.15,4312.61,CLOSED,4312.46,3.15,TP HIT
1765934012,2025-12-17 04:13:32,SELL,xauusd,4320.09,4322.32,4317.03,CLOSED,4317.01,3.08,TP HIT
1765935303,2025-12-17 04:35:03,SELL,xauusd,4322.02,4324.04,4319.04,CLOSED,4324.59,-2.57,SL HIT
1765935818,2025-12-17 04:43:38,SELL,xauusd,4324.06,4326.62,4320.41,CLOSED,4326.64,-2.58,SL HIT
1765936143,2025-12-17 04:49:03,SELL,xauusd,4323.19,4325.13,4320.13,CLOSED,4325.23,-2.04,SL HIT
1765937004,2025-12-17 05:03:24,SELL,xauusd,4326.31,4329.28,4323.25,CLOSED,4323.2,3.11,TP HIT
1765937345,2025-12-17 05:09:05,BUY,xauusd,4319.37,4316.67,4321.99,CLOSED,4322.03,2.66,TP HIT
1765937706,2025-12-17 05:15:06,BUY,xauusd,4320.44,4318.04,4323.45,CLOSED,4323.51,3.07,TP HIT
1765938845,2025-12-17 05:34:05,BUY,xauusd,4317.61,4315.58,4320.82,CLOSED,4315.45,-2.16,SL HIT
1765939502,2025-12-17 05:45:02,BUY,xauusd,4316.69,4313.8,4319.68,CLOSED,4313.8,-2.89,SL HIT
1765940104,2025-12-17 05:55:04,BUY,xauusd,4313.23,4311.77,4316.19,CLOSED,4311.6,-1.63,SL HIT
